symbol,lot_size
ADANIPORTS,475.0
ADANIPOWER,3550.0
AMBER,100.0
AMBUJACEM,1200.0
APOLLOHOSP,125.0
ASIANPAINT,250.0
AUBANK,1000.0
AUROPHARMA,550.0
AXISBANK,625.0
BAJAJHLDNG,75.0
BAJFINANCE,750.0
ABB,125.0
BANDHANBNK,3600.0
BHARTIARTL,475.0
ADANIENSOL,675.0
BLUESTARCO,325.0
BOSCHLTD,25.0
BPCL,1975.0
CDSL,475.0
ADANIGREEN,600.0
CHOLAFIN,625.0
ALKEM,125.0
COALINDIA,1350.0
ANGELONE,2500.0
APLAPOLLO,350.0
COCHINSHIP,400.0
BAJAJ-AUTO,75.0
DABUR,1250.0
DIVISLAB,100.0
BDL,425.0
BSE,200.0
DRREDDY,625.0
EICHERMOT,100.0
CAMS,825.0
EXIDEIND,1800.0
CGPOWER,850.0
FORTIS,775.0
COFORGE,475.0
CONCOR,1250.0
CUMMINSIND,200.0
GODREJPROP,325.0
HAVELLS,500.0
DALBHARAT,325.0
ETERNAL,2425.0
HINDUNILVR,300.0
HYUNDAI,275.0
IDFCFIRSTB,9275.0
INDIGO,150.0
INDUSINDBK,700.0
INOXWIND,6400.0
GAIL,3550.0
GMRAIRPORT,6975.0
ASHOKLEY,5000.0
ASTRAL,425.0
GRASIM,250.0
JINDALSTEL,625.0
GVT&D,125.0
JSWENERGY,1075.0
HCLTECH,400.0
HDFCBANK,650.0
KEI,175.0
KFINTECH,575.0
KPITTECH,775.0
LAURUSLABS,850.0
HDFCLIFE,1100.0
LICHSGFIN,1000.0
HEROMOTOCO,150.0
LICI,1400.0
HINDALCO,700.0
LODHA,625.0
ICICIBANK,700.0
ICICIGI,325.0
LTM,150.0
MANAPPURAM,3000.0
MANKIND,250.0
MARUTI,50.0
MCX,225.0
NATIONALUM,1875.0
NESTLEIND,500.0
NTPC,1500.0
PFC,1300.0
BEL,1425.0
PHOENIXLTD,350.0
PIDILITIND,500.0
BHARATFORG,500.0
PNBHOUSING,650.0
BHEL,2625.0
PRESTIGE,450.0
RBLBANK,3175.0
ITC,1725.0
RECLTD,1575.0
RELIANCE,500.0
RVNL,1925.0
SBICARD,800.0
SBIN,750.0
SUPREMEIND,175.0
TATACONSUM,550.0
TATAPOWER,1450.0
TECHM,600.0
UNIONBANK,4425.0
BANKINDIA,5200.0
CIPLA,425.0
KALYANKJIL,1350.0
KAYNES,150.0
ADANIENT,309.0
LTF,2250.0
MFSL,400.0
COLPAL,275.0
MOTHERSON,6150.0
MOTILALOFS,775.0
MUTHOOTFIN,275.0
CROMPTON,2150.0
NAUKRI,550.0
NBCC,6500.0
NHPC,6950.0
NUVAMA,500.0
OFSS,100.0
ONGC,2250.0
PAGEIND,20.0
PATANJALI,1075.0
PAYTM,725.0
PGEL,950.0
POWERGRID,1900.0
POWERINDIA,25.0
RADICO,150.0
SBILIFE,375.0
SHREECEM,25.0
SIEMENS,175.0
SOLARINDS,50.0
SONACOMS,1225.0
SUZLON,12700.0
SWIGGY,1825.0
TATASTEEL,2750.0
FEDERALBNK,2500.0
TIINDIA,200.0
FORCEMOT,25.0
TITAN,175.0
VEDL,1150.0
TMPV,1600.0
TORNTPHARM,125.0
TVSMOTOR,175.0
WAAREEENER,175.0
GODREJCP,500.0
HAL,150.0
VOLTAS,375.0
BRITANNIA,125.0
HINDPETRO,2025.0
HINDZINC,1225.0
ICICIPRULI,925.0
IRFC,5425.0
JSWSTEEL,675.0
JUBLFOOD,1250.0
DELHIVERY,2075.0
DIXON,50.0
DMART,150.0
KOTAKBANK,2000.0
GLENMARK,375.0
NMDC,6750.0
INDHOTEL,1000.0
PETRONET,1900.0
INDUSTOWER,1700.0
IOC,4875.0
PNB,8000.0
PREMIERENE,650.0
JIOFIN,2350.0
SRF,200.0
SUNPHARMA,350.0
LUPIN,425.0
MARICO,1200.0
MAXHEALTH,525.0
ULTRACEMCO,50.0
UNITDSPR,400.0
VBL,1275.0
NAM-INDIA,625.0
NYKAA,3125.0
OBEROIRLTY,350.0
DLF,950.0
OIL,1400.0
PERSISTENT,125.0
PIIND,175.0
POLICYBZR,350.0
POLYCAB,125.0
SHRIRAMFIN,825.0
TATAELXSI,125.0
BAJAJFINSV,300.0
TCS,225.0
TRENT,225.0
UNOMINDA,550.0
UPL,1355.0
VMM,4850.0
WIPRO,3000.0
ZYDUSLIFE,900.0
360ONE,500.0
ABCAPITAL,3100.0
BIOCON,2500.0
SAIL,4700.0
GODFRYPHLP,275.0
INDIANB,1000.0
LT,175.0
M&M,200.0
MAZDOCK,225.0
IREDA,4525.0
IDEA,71475.0
IEX,4350.0
BANKBARODA,2925.0
HDFCAMC,300.0
INFY,400.0
YESBANK,31100.0
CANBK,6750.0
MPHASIS,275.0
